id,name,parent_area_id,description,boundary_id,valid_from,valid_until,area_type_id,created_on,created_by_user_id,updated_on,updated_by_user_id,boundary_status_id,retired,label,area_short_name,area_hq_id,area_code,establishment_date_approximated,mof_code,created_at,updated_at,deleted_at,ares_code
"4097","Karatu","4033",,,,,"4","2024-10-25 07:08:16.724+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8001030"
"4098","Mbulumbulu","4033",,,,,"4","2024-10-25 07:08:16.736+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002215"
"4099","Oldeani","4033",,,,,"4","2024-10-25 07:08:16.748+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003375"
"4100","Mang'ola","4033",,,,,"4","2024-10-25 07:08:16.761+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002016"
"4101","Qurus","4033",,,,,"4","2024-10-25 07:08:16.773+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003440"
"4102","Rhotia","4033",,,,,"4","2024-10-25 07:08:16.784+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003453"
"4103","Elang'atadapash","4034",,,,,"4","2024-10-25 07:08:16.796+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000426"
"4104","Engarenaibor","4034",,,,,"4","2024-10-25 07:08:16.809+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000442"
"4105","Engikaret","4034",,,,,"4","2024-10-25 07:08:16.821+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000445"
"4106","Gelai Lumbwa","4034",,,,,"4","2024-10-25 07:08:16.833+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000479"
"4107","Gelai Meirugoi","4034",,,,,"4","2024-10-25 07:08:16.845+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000480"
"4108","Ilorienito","4034",,,,,"4","2024-10-25 07:08:16.857+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000720"
"4109","Kamwanga","4034",,,,,"4","2024-10-25 07:08:16.869+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000995"
"4110","Ketumbeine","4034",,,,,"4","2024-10-25 07:08:16.882+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001124"
"4111","Kimokouwa","4034",,,,,"4","2024-10-25 07:08:16.893+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001307"
"4112","Longido","4034",,,,,"4","2024-10-25 07:08:16.905+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001665"
"4113","Matale A","4034",,,,,"4","2024-10-25 07:08:16.917+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002104"
"4114","Mundarara","4034",,,,,"4","2024-10-25 07:08:16.929+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002740"
"4115","Namanga","4034",,,,,"4","2024-10-25 07:08:16.942+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8002955"
"4116","Noondoto","4034",,,,,"4","2024-10-25 07:08:16.954+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003190"
"4117","Olmolog","4034",,,,,"4","2024-10-25 07:08:16.966+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003383"
"4118","Orbomba","4034",,,,,"4","2024-10-25 07:08:16.978+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003393"
"4119","Sinya","4034",,,,,"4","2024-10-25 07:08:16.99+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003636"
"4120","Tingatinga","4034",,,,,"4","2024-10-25 07:08:17.002+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003743"
"4121","Akheri","4035",,,,,"4","2024-10-25 07:08:17.014+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000002"
"4122","Ambureni","4035",,,,,"4","2024-10-25 07:08:17.026+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000008"
"4123","Imbaseni","4035",,,,,"4","2024-10-25 07:08:17.038+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000734"
"4124","Kikatiti","4035",,,,,"4","2024-10-25 07:08:17.05+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001227"
"4125","Kikwe","4035",,,,,"4","2024-10-25 07:08:17.061+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001244"
"4126","King'ori","4035",,,,,"4","2024-10-25 07:08:17.073+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001319"
"4127","Leguruki","4035",,,,,"4","2024-10-25 07:08:17.085+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001603"
"4128","Majengo","4035",,,,,"4","2024-10-25 07:08:17.097+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001891"
"4129","Maji ya chai","4035",,,,,"4","2024-10-25 07:08:17.109+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001904"
"4130","Makiba","4035",,,,,"4","2024-10-25 07:08:17.121+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001926"
"4131","Malula","4035",,,,,"4","2024-10-25 07:08:17.134+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001986"
"4132","Maroroni","4035",,,,,"4","2024-10-25 07:08:17.146+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002055"
"4133","Maruvango","4035",,,,,"4","2024-10-25 07:08:17.158+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002061"
"4134","Mbuguni","4035",,,,,"4","2024-10-25 07:08:17.17+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002212"
"4135","Ngabobo","4035",,,,,"4","2024-10-25 07:08:17.182+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003079"
"4136","Ngarenanyuki","4035",,,,,"4","2024-10-25 07:08:17.194+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003088"
"4137","Nkoanekoli","4035",,,,,"4","2024-10-25 07:08:17.206+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003164"
"4138","Nkoanrua","4035",,,,,"4","2024-10-25 07:08:17.217+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003165"
"4139","Nkoaranga","4035",,,,,"4","2024-10-25 07:08:17.23+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003166"
"4140","Nkoarisambu","4035",,,,,"4","2024-10-25 07:08:17.242+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003167"
"4141","Poli","4035",,,,,"4","2024-10-25 07:08:17.255+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003429"
"4142","Seela Sing'isi","4035",,,,,"4","2024-10-25 07:08:17.267+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003566"
"4143","Shambarai Burka","4035",,,,,"4","2024-10-25 07:08:17.279+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003591"
"4144","Songoro","4035",,,,,"4","2024-10-25 07:08:17.291+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003668"
"4145","Usariver","4035",,,,,"4","2024-10-25 07:08:17.303+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"8003855"
"4146","Uwiro","4035",,,,,"4","2024-10-25 07:08:17.316+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08003887"
"4147","Engaruka","4036",,,,,"4","2024-10-25 07:08:17.328+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000444"
"4148","Engutoto","4036",,,,,"4","2024-10-25 07:08:17.34+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000448"
"4149","Esilalei","4036",,,,,"4","2024-10-25 07:08:17.352+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08000451"
"4150","Lashaine","4036",,,,,"4","2024-10-25 07:08:17.364+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001601"
"4151","Lemooti","4036",,,,,"4","2024-10-25 07:08:17.377+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001607"
"4152","Lepurko","4036",,,,,"4","2024-10-25 07:08:17.389+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001611"
"4153","Lolkisale","4036",,,,,"4","2024-10-25 07:08:17.401+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001663"
"4154","Majengo","4036",,,,,"4","2024-10-25 07:08:17.413+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001892"
"4155","Makuyuni","4036",,,,,"4","2024-10-25 07:08:17.426+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08001961"
"4156","Meserani","4036",,,,,"4","2024-10-25 07:08:17.438+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002262"
"4157","Mfereji","4036",,,,,"4","2024-10-25 07:08:17.45+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002264"
"4158","Migungani","4036",,,,,"4","2024-10-25 07:08:17.462+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002310"
"4159","Moita","4036",,,,,"4","2024-10-25 07:08:17.474+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:17","2024-10-25 04:08:17",,"08002537"
